鄉鎮市區,土地移轉總面積平方公尺,建物移轉總面積平方公尺,單價每平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位移轉總面積平方公尺,車位總價元,屋齡,建築完成年,交易年,總價元,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
內湖區,20.43,104.45,181905,0,0,0,0,0,23,83,106,1900,0,0,0,1,0,0,0,0,0,0,0,0
中山區,47.09,155.46,160813,3,2,2,0,0,17,89,106,2500,1,0,0,0,0,0,0,0,0,0,0,0
中山區,21.66,260.33,399283,3,2,3,42.74,3000000,1,105,103,8988,1,0,0,0,0,0,0,0,0,0,0,0
文山區,45.5,74.35,143645,3,1,1,0,0,48,58,106,1068,0,0,0,0,0,0,0,0,0,1,0,0
中正區,9.33,117.86,178193,2,2,1,16.26,0,2,104,106,2100,0,1,0,0,0,0,0,0,0,0,0,0
文山區,25.98,86.73,92240,3,2,1,0,0,34,72,106,800,0,0,0,0,0,0,0,0,0,1,0,0
大同區,24.5,79.96,122561,3,2,1,0,0,44,62,106,980,0,0,0,0,0,0,0,1,0,0,0,0
大同區,17.85,112.93,154950,2,1,1,20.26,0,22,84,106,1750,0,0,0,0,0,0,0,1,0,0,0,0
萬華區,2.54,21.58,87118,0,0,0,0,0,43,63,106,188,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,10.1,143.77,159978,3,2,1,16.58,0,2,104,106,2300,0,0,0,0,0,0,0,0,0,0,0,1
中正區,1.52,32.8,196646,1,0,1,0,0,27,79,106,645,0,1,0,0,0,0,0,0,0,0,0,0
萬華區,39.75,93.17,94988,3,2,1,0,0,47,59,106,885,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,6.25,73.33,148643,0,1,1,0,0,10,96,106,1090,0,0,0,0,0,0,0,0,0,0,0,1
大同區,9.16,88.89,141748,3,2,2,0,0,33,73,105,1260,0,0,0,0,0,0,0,1,0,0,0,0
中山區,0,66.74,78064,0,0,1,0,0,1,105,106,521,1,0,0,0,0,0,0,0,0,0,0,0
中山區,0,86.99,76675,0,0,1,0,0,1,105,106,667,1,0,0,0,0,0,0,0,0,0,0,0
中山區,0,66.74,74318,0,0,1,0,0,1,105,106,496,1,0,0,0,0,0,0,0,0,0,0,0
中山區,9.71,161.64,210428,3,1,2,33.33,2000000,1,105,106,2900,1,0,0,0,0,0,0,0,0,0,0,0
中山區,8.22,90.43,149287,3,2,1,0,0,34,72,106,1350,1,0,0,0,0,0,0,0,0,0,0,0
中山區,5.64,61.1,196399,1,1,1,0,0,10,96,106,1200,1,0,0,0,0,0,0,0,0,0,0,0
內湖區,51.96,398.97,161819,3,2,2,66.5,4200000,2,104,106,5800,0,0,0,1,0,0,0,0,0,0,0,0
中山區,15.2,102.15,203622,0,0,1,0,2250000,1,105,103,2080,1,0,0,0,0,0,0,0,0,0,0,0
中山區,14.46,100.26,191502,0,0,1,0,2250000,1,105,106,1920,1,0,0,0,0,0,0,0,0,0,0,0
松山區,36.44,115.61,166076,3,2,2,0,0,31,75,106,1920,0,0,0,0,0,0,0,0,0,0,1,0
南港區,24.25,67.75,136974,3,0,3,0,0,47,59,106,928,0,0,0,0,0,1,0,0,0,0,0,0
信義區,48.03,368.89,298192,3,2,3,44.91,0,4,102,106,11000,0,0,1,0,0,0,0,0,0,0,0,0
松山區,24.53,116.23,189280,2,2,1,0,0,25,81,106,2200,0,0,0,0,0,0,0,0,0,0,1,0
松山區,6.98,43.01,197628,1,1,1,0,0,31,75,106,850,0,0,0,0,0,0,0,0,0,0,1,0
南港區,52.58,262.09,170394,3,2,3,57.27,4600000,3,103,106,3950,0,0,0,0,0,1,0,0,0,0,0,0
松山區,18.04,40.3,91933,1,1,1,0,0,46,60,106,370.4915,0,0,0,0,0,0,0,0,0,0,1,0
松山區,45.87,153.66,273331,3,2,2,0,0,29,77,106,4200,0,0,0,0,0,0,0,0,0,0,1,0
北投區,39,79.05,116382,3,2,1,0,0,49,57,106,920,0,0,0,0,1,0,0,0,0,0,0,0
北投區,7.24,36.36,132013,1,1,1,0,0,21,85,106,480,0,0,0,0,1,0,0,0,0,0,0,0
北投區,38.61,108.37,98736,3,2,2,0,0,42,64,106,1070,0,0,0,0,1,0,0,0,0,0,0,0
北投區,28.15,94.21,102961,3,2,2,0,0,36,70,106,970,0,0,0,0,1,0,0,0,0,0,0,0
北投區,9.22,89.09,127060,0,0,1,36.91,2000000,2,104,106,863,0,0,0,0,1,0,0,0,0,0,0,0
北投區,19.81,68.67,101937,2,1,1,0,0,40,66,106,700,0,0,0,0,1,0,0,0,0,0,0,0
士林區,80.5,189.54,99188,3,2,1,16.92,0,39,67,106,1880,0,0,0,0,0,0,1,0,0,0,0,0
北投區,60.35,411.43,214482,3,2,3,124.32,7300000,1,105,106,6888,0,0,0,0,1,0,0,0,0,0,0,0
北投區,19.41,102.63,170767,1,1,1,33.53,1700000,1,105,106,1350,0,0,0,0,1,0,0,0,0,0,0,0
北投區,25.83,155.74,141261,3,2,2,38.73,0,12,94,106,2200,0,0,0,0,1,0,0,0,0,0,0,0
北投區,7.39,41.63,126832,1,1,1,0,0,35,71,106,528,0,0,0,0,1,0,0,0,0,0,0,0
士林區,38.36,122.56,182115,2,2,2,0,0,29,77,106,2232,0,0,0,0,0,0,1,0,0,0,0,0
松山區,2.17,60.61,137766,2,1,1,0,0,43,63,106,835,0,0,0,0,0,0,0,0,0,0,1,0
南港區,56.51,385.54,251087,0,0,0,58.88,5000000,2,104,106,8702,0,0,0,0,0,1,0,0,0,0,0,0
信義區,121.69,581.33,231372,2,3,3,69.6,4000000,1,105,104,12240,0,0,1,0,0,0,0,0,0,0,0,0
松山區,51.38,103.33,198393,3,2,2,0,0,44,62,106,2050,0,0,0,0,0,0,0,0,0,0,1,0
信義區,34.5,112.41,156125,5,0,5,0,0,48,58,106,1755,0,0,1,0,0,0,0,0,0,0,0,0
信義區,51,143.1,136268,3,2,2,0,0,55,51,105,1950,0,0,1,0,0,0,0,0,0,0,0,0
松山區,27.75,79.83,185394,2,2,1,0,0,46,60,106,1480,0,0,0,0,0,0,0,0,0,0,1,0
信義區,5.63,40.06,303545,1,1,1,0,0,12,94,106,1216,0,0,1,0,0,0,0,0,0,0,0,0
內湖區,17.08,87.15,220785,2,1,1,16.04,1800000,1,105,106,1750,0,0,0,1,0,0,0,0,0,0,0,0
內湖區,46.08,133.95,225433,3,2,2,32.9,2800000,1,105,106,2558,0,0,0,1,0,0,0,0,0,0,0,0
萬華區,2.37,27.79,172724,1,0,1,0,0,21,85,106,480,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,1.77,18.46,118093,1,1,1,0,0,40,66,106,218,0,0,0,0,0,0,0,0,0,0,0,1
萬華區,30.68,145.95,137033,3,2,2,21.12,0,3,103,106,2000,0,0,0,0,0,0,0,0,0,0,0,1
